N1,P1,P2,N3,P3,N1_prev1,P1_prev1,P2_prev1,N3_prev1,P3_prev1,N1_prev2,P1_prev2,P2_prev2,N3_prev2,P3_prev2,N1_prev3,P1_prev3,P2_prev3,N3_prev3,P3_prev3,AP,Predicted AP,subject
2.16877e-05,0.0002706749,0.000246236741,9.01958e-05,-0.000156783,2.64196e-05,0.0002990289,0.000158693394,0.0001046745,-6.8604e-05,2.41234e-05,0.0003100935,0.000275563973,9.86749e-05,-0.000161894,1.47843e-05,0.0003036475,0.000165407604,7.64775e-05,-0.000118385,8.0,0.0,S1_26C
9.11407e-05,-0.0006567264,0.000645598979,0.0004220025,-0.000434843,5.16466e-05,-0.0007031071,0.00055234757,0.0003317836,-0.0003429,-1.41224e-05,0.0001343146,0.000203613235,6.22028e-05,-7.6178e-05,-1.38277e-05,0.0001380332,8.53489837e-05,6.24788e-05,-5.317e-05,9.0,3.0,S1_26C
0.0001240178,-6.54008e-05,0.000935915508,0.0005328305,-0.000575242,9.11407e-05,-0.0006567264,0.000645598979,0.0004220025,-0.000434843,5.16466e-05,-0.0007031071,0.00055234757,0.0003317836,-0.0003429,-1.41224e-05,0.0001343146,0.000203613235,6.22028e-05,-7.6178e-05,9.0,5.0,S1_26C
0.0001500525,0.0003444151,0.000962282182,0.0006144338,-0.000644553,0.0001240178,-6.54008e-05,0.000935915508,0.0005328305,-0.000575242,9.11407e-05,-0.0006567264,0.000645598979,0.0004220025,-0.000434843,5.16466e-05,-0.0007031071,0.00055234757,0.0003317836,-0.0003429,9.0,0.0,S1_26C
0.0001780592,0.0004274001,0.00104663777,0.0007098724,-0.000721084,0.0001500525,0.0003444151,0.000962282182,0.0006144338,-0.000644553,0.0001240178,-6.54008e-05,0.000935915508,0.0005328305,-0.000575242,9.11407e-05,-0.0006567264,0.000645598979,0.0004220025,-0.000434843,9.0,5.0,S1_26C
0.0001847716,0.0004980227,0.00107786909,0.0007264793,-0.000730181,0.0001780592,0.0004274001,0.00104663777,0.0007098724,-0.000721084,0.0001500525,0.0003444151,0.000962282182,0.0006144338,-0.000644553,0.0001240178,-6.54008e-05,0.000935915508,0.0005328305,-0.000575242,9.0,0.0,S1_26C
-0.0008030372,7.6113e-05,4.07394982e-05,3.6339e-05,-6.1152e-05,-0.0011667116,8.44996e-05,6.85680789e-05,5.43487e-05,-6.4166e-05,-0.002984926,0.0001404962,0.000147832718,-0.0002236164,-0.000146593,-0.002784638,1.36084e-05,-3.99284763e-05,-9.96885e-05,0.00014009,0.0,0.0,S1_26C
-0.0005650789,8.96448e-05,2.8751987e-05,4.55424e-05,-6.3183e-05,-0.0008030372,7.6113e-05,4.07394982e-05,3.6339e-05,-6.1152e-05,-0.0011667116,8.44996e-05,6.85680789e-05,5.43487e-05,-6.4166e-05,-0.002984926,0.0001404962,0.000147832718,-0.0002236164,-0.000146593,0.0,0.0,S1_26C
-0.0004807169,8.49527e-05,6.32903393e-05,4.88106e-05,-0.000110579,-0.0005650789,8.96448e-05,2.8751987e-05,4.55424e-05,-6.3183e-05,-0.0008030372,7.6113e-05,4.07394982e-05,3.6339e-05,-6.1152e-05,-0.0011667116,8.44996e-05,6.85680789e-05,5.43487e-05,-6.4166e-05,0.0,0.0,S1_26C
-0.0004236964,8.52748e-05,5.53723512e-05,4.89022e-05,-8.9691e-05,-0.0004807169,8.49527e-05,6.32903393e-05,4.88106e-05,-0.000110579,-0.0005650789,8.96448e-05,2.8751987e-05,4.55424e-05,-6.3183e-05,-0.0008030372,7.6113e-05,4.07394982e-05,3.6339e-05,-6.1152e-05,0.0,0.0,S1_26C
-0.0009074748,7.40664e-05,5.93506338e-05,4.32626e-05,-7.3186e-05,-0.001719385,7.17629e-05,4.34344438e-05,3.07169e-05,-5.2828e-05,-0.002697836,8.31464e-05,6.97850337e-05,8.3221e-05,-6.4387e-05,-0.002771928,5.42113e-05,6.11530195e-05,-4.06838e-05,-8.4039e-05,0.0,0.0,S1_26C
-0.0015582006,-2.97176e-05,9.42706974e-05,0.0001356237,-0.000153195,-0.0002592832,5.24752e-05,6.57200362e-05,4.93145e-05,-0.000146802,-0.0002898001,3.24555e-05,4.6720208e-05,4.81233e-05,-6.3912e-05,-0.0003184814,5.06668e-05,1.76221929e-05,5.24147e-05,-5.9739e-05,1.0,1.0,S2_32C
-0.001677324,4.21554e-05,8.34581515e-05,0.0001344063,-0.00013574,-0.0015582006,-2.97176e-05,9.42706974e-05,0.0001356237,-0.000153195,-0.0002592832,5.24752e-05,6.57200362e-05,4.93145e-05,-0.000146802,-0.0002898001,3.24555e-05,4.6720208e-05,4.81233e-05,-6.3912e-05,1.0,1.0,S2_32C
-0.0017347892,6.44766e-05,7.68338577e-05,9.92814e-05,-0.000134757,-0.001677324,4.21554e-05,8.34581515e-05,0.0001344063,-0.00013574,-0.0015582006,-2.97176e-05,9.42706974e-05,0.0001356237,-0.000153195,-0.0002592832,5.24752e-05,6.57200362e-05,4.93145e-05,-0.000146802,1.0,1.0,S2_32C
-0.0017392096,3.30576e-05,9.14452394e-05,9.93479e-05,-0.00012672,-0.0017347892,6.44766e-05,7.68338577e-05,9.92814e-05,-0.000134757,-0.001677324,4.21554e-05,8.34581515e-05,0.0001344063,-0.00013574,-0.0015582006,-2.97176e-05,9.42706974e-05,0.0001356237,-0.000153195,1.0,1.0,S2_32C
-6.21301e-05,-6.116e-07,0.000116977099,0.000486063,-0.000489216,-0.0003087437,7.12468e-05,4.37297931e-05,6.18701e-05,-0.000127857,-0.0003384592,5.18354e-05,5.46819138e-05,6.30973e-05,-9.2076e-05,-0.0003721126,3.99724e-05,5.26519216e-05,6.49942e-05,-7.8408e-05,2.0,2.0,S2_32C
