N1;P1;P2;N3;P3;AP;N1_prev1;P1_prev1;P2_prev1;N3_prev1;P3_prev1;N1_prev2;P1_prev2;P2_prev2;N3_prev2;P3_prev2;N1_prev3;P1_prev3;P2_prev3;N3_prev3;P3_prev3
-0.0016782985;0.0001684841;0.000358449965;0.0004438181;-0.0004856683;1.0;-0.0015754775;0.000161736;0.00035575885;0.0004386159;-0.0004628043;-0.0013032637;0.0001624357;0.000348306407;0.0004224628;-0.0004670946;-0.0008554402;0.000161628;0.000315889367;0.0003124572;-0.0004239695
-0.0014370666;6.3221e-05;0.000172661559;0.0002515046;-0.000212481;0.0;-0.0016782985;0.0001684841;0.000358449965;0.0004438181;-0.0004856683;-0.0015754775;0.000161736;0.00035575885;0.0004386159;-0.0004628043;-0.0013032637;0.0001624357;0.000348306407;0.0004224628;-0.0004670946
-0.0008967154;4.63471e-05;0.000120395664;0.0001253524;-0.000163032;0.0;-0.0014370666;6.3221e-05;0.000172661559;0.0002515046;-0.000212481;-0.0016782985;0.0001684841;0.000358449965;0.0004438181;-0.0004856683;-0.0015754775;0.000161736;0.00035575885;0.0004386159;-0.0004628043
-0.0005690546;4.34173e-05;0.000112536924;9.38861e-05;-0.000140366;0.0;-0.0008967154;4.63471e-05;0.000120395664;0.0001253524;-0.000163032;-0.0014370666;6.3221e-05;0.000172661559;0.0002515046;-0.000212481;-0.0016782985;0.0001684841;0.000358449965;0.0004438181;-0.0004856683
-0.0004405084;4.24858e-05;0.000106393105;8.24149e-05;-0.000126488;0.0;-0.0005690546;4.34173e-05;0.000112536924;9.38861e-05;-0.000140366;-0.0008967154;4.63471e-05;0.000120395664;0.0001253524;-0.000163032;-0.0014370666;6.3221e-05;0.000172661559;0.0002515046;-0.000212481
-0.0003607395;4.68181e-05;0.000111005793;7.69847e-05;-0.000123132;0.0;-0.0004405084;4.24858e-05;0.000106393105;8.24149e-05;-0.000126488;-0.0005690546;4.34173e-05;0.000112536924;9.38861e-05;-0.000140366;-0.0008967154;4.63471e-05;0.000120395664;0.0001253524;-0.000163032
-0.0003066856;4.53506e-05;0.000109917441;7.37482e-05;-0.000118771;0.0;-0.0003607395;4.68181e-05;0.000111005793;7.69847e-05;-0.000123132;-0.0004405084;4.24858e-05;0.000106393105;8.24149e-05;-0.000126488;-0.0005690546;4.34173e-05;0.000112536924;9.38861e-05;-0.000140366
-0.000262106;4.62705e-05;0.000106032036;6.98452e-05;-0.00011993;0.0;-0.0003066856;4.53506e-05;0.000109917441;7.37482e-05;-0.000118771;-0.0003607395;4.68181e-05;0.000111005793;7.69847e-05;-0.000123132;-0.0004405084;4.24858e-05;0.000106393105;8.24149e-05;-0.000126488
-0.0002304268;3.64888e-05;0.000106494525;6.83714e-05;-0.000113825;0.0;-0.000262106;4.62705e-05;0.000106032036;6.98452e-05;-0.00011993;-0.0003066856;4.53506e-05;0.000109917441;7.37482e-05;-0.000118771;-0.0003607395;4.68181e-05;0.000111005793;7.69847e-05;-0.000123132
-0.0002021744;4.82017e-05;0.000111551926;6.41106e-05;-0.0001151751;0.0;-0.0002304268;3.64888e-05;0.000106494525;6.83714e-05;-0.000113825;-0.000262106;4.62705e-05;0.000106032036;6.98452e-05;-0.00011993;-0.0003066856;4.53506e-05;0.000109917441;7.37482e-05;-0.000118771
