time;N1;P1;P2;N3;P3;N1_prev1;P1_prev1;P2_prev1;N3_prev1;P3_prev1;N1_prev2;P1_prev2;P2_prev2;N3_prev2;P3_prev2;N1_prev3;P1_prev3;P2_prev3;N3_prev3;P3_prev3;AP;Predicted AP
1413.484495162964;-7.5257e-05;8.06844e-05;0.000358903169;-9.49235e-05;-5.3612e-05;-7.34737e-05;-1.3228e-06;0.000405176601;-9.1339e-05;-6.2311e-05;-6.96523e-05;-0.0001051049;0.000465392048;-8.01176e-05;-5.593e-05;-6.84229e-05;-0.0001996642;0.000594549056;-7.46001e-05;-0.00011239;0;0
458.2059652805328;-1.0623e-05;0.000142718;0.000127847074;0.0002531332;-0.000319439;7.972e-07;0.0001461597;0.000121879675;0.0004015349;-0.000417145;1.8305e-06;0.0001794281;0.000250115379;0.0007819516;-0.000621015;-4.27722e-05;0.0002516569;0.000449074665;0.001075123;-0.00115636;0;0
461.33412194252014;-1.70197e-05;0.0001431009;9.35557691e-05;0.0002075306;-0.00026617;-1.0623e-05;0.000142718;0.000127847074;0.0002531332;-0.000319439;7.972e-07;0.0001461597;0.000121879675;0.0004015349;-0.000417145;1.8305e-06;0.0001794281;0.000250115379;0.0007819516;-0.000621015;0;0
464.4658713340759;-2.41203e-05;0.0001276452;5.51375488e-05;0.0001749756;-0.000239883;-1.70197e-05;0.0001431009;9.35557691e-05;0.0002075306;-0.00026617;-1.0623e-05;0.000142718;0.000127847074;0.0002531332;-0.000319439;7.972e-07;0.0001461597;0.000121879675;0.0004015349;-0.000417145;0;0
467.82082772254944;-2.79522e-05;0.0001393224;0.000110205823;0.0001540021;-0.000233281;-2.41203e-05;0.0001276452;5.51375488e-05;0.0001749756;-0.000239883;-1.70197e-05;0.0001431009;9.35557691e-05;0.0002075306;-0.00026617;-1.0623e-05;0.000142718;0.000127847074;0.0002531332;-0.000319439;0;0
472.2988398075104;-2.40321e-05;0.0001191904;8.87057322e-05;0.0001469084;-0.000201893;-2.79522e-05;0.0001393224;0.000110205823;0.0001540021;-0.000233281;-2.41203e-05;0.0001276452;5.51375488e-05;0.0001749756;-0.000239883;-1.70197e-05;0.0001431009;9.35557691e-05;0.0002075306;-0.00026617;0;0
510.87525486946106;7.6429e-06;9.37956e-05;-3.14156314e-05;-0.0001840603;-0.000389677;1.72337e-05;5.62893e-05;-5.72906247e-05;-0.0002697501;-0.00044097;2.75043e-05;4.37267e-05;-0.000127246836;-0.0004015864;-0.000543336;4.24302e-05;1.343e-07;-0.000192824402;-0.0006415642;-0.000846689;0;0
513.9819099903107;1.8305e-06;0.0001040683;-1.49666175e-06;-0.0001399523;-0.000330435;7.6429e-06;9.37956e-05;-3.14156314e-05;-0.0001840603;-0.000389677;1.72337e-05;5.62893e-05;-5.72906247e-05;-0.0002697501;-0.00044097;2.75043e-05;4.37267e-05;-0.000127246836;-0.0004015864;-0.000543336;0;0
518.4178214073181;6.199e-07;9.56251e-05;-8.89947842e-06;-9.74368e-05;-0.000299037;1.8305e-06;0.0001040683;-1.49666175e-06;-0.0001399523;-0.000330435;7.6429e-06;9.37956e-05;-3.14156314e-05;-0.0001840603;-0.000389677;1.72337e-05;5.62893e-05;-5.72906247e-05;-0.0002697501;-0.00044097;0;0
521.5509717464447;-3.8151e-06;0.0001118454;4.53575813e-05;-6.51568e-05;-0.000291176;6.199e-07;9.56251e-05;-8.89947842e-06;-9.74368e-05;-0.000299037;1.8305e-06;0.0001040683;-1.49666175e-06;-0.0001399523;-0.000330435;7.6429e-06;9.37956e-05;-3.14156314e-05;-0.0001840603;-0.000389677;0;0
524.6146819591522;-4.9092e-06;0.0001208289;4.16410585e-05;-5.13959e-05;-0.000294543;-3.8151e-06;0.0001118454;4.53575813e-05;-6.51568e-05;-0.000291176;6.199e-07;9.56251e-05;-8.89947842e-06;-9.74368e-05;-0.000299037;1.8305e-06;0.0001040683;-1.49666175e-06;-0.0001399523;-0.000330435;0;0
565.4661056995392;-9.24341e-05;0.000147387;4.48874816e-05;4.46108e-05;-0.000206133;-0.0001173413;0.0001452188;0.000117460484;7.73305e-05;-0.000211852;-0.0001600243;0.000170496;0.000176499831;0.0001871766;-0.000268334;-0.0001479767;0.0002800633;0.000302962144;0.0002318335;-0.000374243;0;0
568.5679078102112;-9.30446e-05;0.0001460527;9.23592161e-05;5.62392e-05;-0.000170186;-9.24341e-05;0.000147387;4.48874816e-05;4.46108e-05;-0.000206133;-0.0001173413;0.0001452188;0.000117460484;7.73305e-05;-0.000211852;-0.0001600243;0.000170496;0.000176499831;0.0001871766;-0.000268334;0;0
571.7312092781067;-8.66898e-05;0.0001474394;0.000114150142;5.63373e-05;-0.000218895;-9.30446e-05;0.0001460527;9.23592161e-05;5.62392e-05;-0.000170186;-9.24341e-05;0.000147387;4.48874816e-05;4.46108e-05;-0.000206133;-0.0001173413;0.0001452188;0.000117460484;7.73305e-05;-0.000211852;0;0
574.8497364521027;-8.1574e-05;0.0001226048;9.00112573e-05;5.61814e-05;-0.00014996;-8.66898e-05;0.0001474394;0.000114150142;5.63373e-05;-0.000218895;-9.30446e-05;0.0001460527;9.23592161e-05;5.62392e-05;-0.000170186;-9.24341e-05;0.000147387;4.48874816e-05;4.46108e-05;-0.000206133;0;0
